,Symbol,GICS Sector
271,KEYS,Information Technology
272,KMB,Consumer Staples
273,KIM,Real Estate
274,KMI,Energy
275,KLAC,Information Technology
276,KHC,Consumer Staples
277,KR,Consumer Staples
278,LB,Consumer Discretionary
279,LHX,Industrials
280,LH,Health Care
281,LRCX,Information Technology
282,LW,Consumer Staples
283,LVS,Consumer Discretionary
284,LEG,Consumer Discretionary
285,LDOS,Information Technology
286,LEN,Consumer Discretionary
287,LLY,Health Care
288,LNC,Financials
289,LIN,Materials
290,LYV,Communication Services
291,LKQ,Consumer Discretionary
292,LMT,Industrials
293,L,Financials
294,LOW,Consumer Discretionary
295,LUMN,Communication Services
296,LYB,Materials
297,MTB,Financials
298,MRO,Energy
299,MPC,Energy
300,MKTX,Financials
301,MAR,Consumer Discretionary
302,MMC,Financials
303,MLM,Materials
304,MAS,Industrials
305,MA,Information Technology
306,MKC,Consumer Staples
307,MXIM,Information Technology
308,MCD,Consumer Discretionary
309,MCK,Health Care
310,MDT,Health Care
311,MRK,Health Care
312,MET,Financials
313,MTD,Health Care
314,MGM,Consumer Discretionary
315,MCHP,Information Technology
316,MU,Information Technology
317,MSFT,Information Technology
318,MAA,Real Estate
319,MHK,Consumer Discretionary
320,TAP,Consumer Staples
321,MDLZ,Consumer Staples
322,MNST,Consumer Staples
323,MCO,Financials
324,MS,Financials
325,MOS,Materials
326,MSI,Information Technology
327,MSCI,Financials
328,NDAQ,Financials
329,NOV,Energy
330,NTAP,Information Technology
331,NFLX,Communication Services
332,NWL,Consumer Discretionary
333,NEM,Materials
334,NWSA,Communication Services
335,NWS,Communication Services
336,NEE,Utilities
337,NLSN,Industrials
338,NKE,Consumer Discretionary
339,NI,Utilities
340,NSC,Industrials
341,NTRS,Financials
342,NOC,Industrials
343,NLOK,Information Technology
344,NCLH,Consumer Discretionary
345,NRG,Utilities
346,NUE,Materials
347,NVDA,Information Technology
348,NVR,Consumer Discretionary
349,ORLY,Consumer Discretionary
350,OXY,Energy
351,ODFL,Industrials
352,OMC,Communication Services
353,OKE,Energy
354,ORCL,Information Technology
355,OTIS,Industrials
356,PCAR,Industrials
357,PKG,Materials
358,PH,Industrials
359,PAYX,Information Technology
360,PAYC,Information Technology
361,PYPL,Information Technology
362,PNR,Industrials
363,PBCT,Financials
364,PEP,Consumer Staples
365,PKI,Health Care
366,PRGO,Health Care
367,PFE,Health Care
368,PM,Consumer Staples
369,PSX,Energy
370,PNW,Utilities
371,PXD,Energy
372,PNC,Financials
373,POOL,Consumer Discretionary
374,PPG,Materials
375,PPL,Utilities
376,PFG,Financials
377,PG,Consumer Staples
378,PGR,Financials
379,PLD,Real Estate
380,PRU,Financials
381,PEG,Utilities
382,PSA,Real Estate
383,PHM,Consumer Discretionary
384,PVH,Consumer Discretionary
385,QRVO,Information Technology
386,PWR,Industrials
387,QCOM,Information Technology
388,DGX,Health Care
389,RL,Consumer Discretionary
390,RJF,Financials
391,RTX,Industrials
392,O,Real Estate
393,REG,Real Estate
394,REGN,Health Care
395,RF,Financials
396,RSG,Industrials
397,RMD,Health Care
398,RHI,Industrials
399,ROK,Industrials
400,ROL,Industrials
401,ROP,Industrials
402,ROST,Consumer Discretionary
403,RCL,Consumer Discretionary
404,SPGI,Financials
405,CRM,Information Technology
406,SBAC,Real Estate
407,SLB,Energy
408,STX,Information Technology
409,SEE,Materials
410,SRE,Utilities
411,NOW,Information Technology
412,SHW,Materials
413,SPG,Real Estate
414,SWKS,Information Technology
415,SLG,Real Estate
416,SNA,Industrials
417,SO,Utilities
418,LUV,Industrials
419,SWK,Industrials
420,SBUX,Consumer Discretionary
421,STT,Financials
422,STE,Health Care
423,SYK,Health Care
424,SIVB,Financials
425,SYF,Financials
426,SNPS,Information Technology
427,SYY,Consumer Staples
428,TMUS,Communication Services
429,TROW,Financials
430,TTWO,Communication Services
431,TPR,Consumer Discretionary
432,TGT,Consumer Discretionary
433,TEL,Information Technology
434,FTI,Energy
435,TDY,Industrials
436,TFX,Health Care
437,TER,Information Technology
438,TXN,Information Technology
439,TXT,Industrials
440,TMO,Health Care
441,TIF,Consumer Discretionary
442,TJX,Consumer Discretionary
443,TSCO,Consumer Discretionary
444,TT,Industrials
445,TDG,Industrials
446,TRV,Financials
447,TFC,Financials
448,TWTR,Communication Services
449,TYL,Information Technology
450,TSN,Consumer Staples
451,UDR,Real Estate
452,ULTA,Consumer Discretionary
453,USB,Financials
454,UAA,Consumer Discretionary
455,UA,Consumer Discretionary
456,UNP,Industrials
457,UAL,Industrials
458,UNH,Health Care
459,UPS,Industrials
460,URI,Industrials
461,UHS,Health Care
462,UNM,Financials
463,VLO,Energy
464,VAR,Health Care
465,VTR,Real Estate
466,VRSN,Information Technology
467,VRSK,Industrials
468,VZ,Communication Services
469,VRTX,Health Care
470,VFC,Consumer Discretionary
471,VIAC,Communication Services
472,VTRS,Health Care
473,V,Information Technology
474,VNT,Information Technology
475,VNO,Real Estate
476,VMC,Materials
477,WRB,Financials
478,WAB,Industrials
479,WMT,Consumer Staples
480,WBA,Consumer Staples
481,DIS,Communication Services
482,WM,Industrials
483,WAT,Health Care
484,WEC,Utilities
485,WFC,Financials
486,WELL,Real Estate
487,WST,Health Care
488,WDC,Information Technology
489,WU,Information Technology
490,WRK,Materials
491,WY,Real Estate
492,WHR,Consumer Discretionary
493,WMB,Energy
494,WLTW,Financials
495,WYNN,Consumer Discretionary
496,XEL,Utilities
497,XRX,Information Technology
498,XLNX,Information Technology
499,XYL,Industrials
500,YUM,Consumer Discretionary
501,ZBRA,Information Technology
502,ZBH,Health Care
503,ZION,Financials
504,ZTS,Health Care
